Asset Name,Serial,Asset Tag,Category,Model,Manufacturer,Status,Location,Company,Supplier,Purchase Date,Purchase Cost,Warranty Months,Notes
"Dining Table 4-Seater 01","TBL-0001","TAG-TBL-001","Furniture","Wooden Dining Table 4-Seater","Urban Wood","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","250","12","4-Seater Wooden Dining Table"
"Dining Table 4-Seater 02","TBL-0002","TAG-TBL-002","Furniture","Wooden Dining Table 4-Seater","Urban Wood","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","250","12","4-Seater Wooden Dining Table"
"Dining Table 4-Seater 03","TBL-0003","TAG-TBL-003","Furniture","Wooden Dining Table 4-Seater","Urban Wood","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","250","12","4-Seater Wooden Dining Table"
"Dining Table 4-Seater 04","TBL-0004","TAG-TBL-004","Furniture","Wooden Dining Table 4-Seater","Urban Wood","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","250","12","4-Seater Wooden Dining Table"
"Dining Table 4-Seater 05","TBL-0005","TAG-TBL-005","Furniture","Wooden Dining Table 4-Seater","Urban Wood","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","250","12","4-Seater Wooden Dining Table"
"Dining Table 4-Seater 06","TBL-0006","TAG-TBL-006","Furniture","Wooden Dining Table 4-Seater","Urban Wood","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","250","12","4-Seater Wooden Dining Table"
"Dining Table 4-Seater 07","TBL-0007","TAG-TBL-007","Furniture","Wooden Dining Table 4-Seater","Urban Wood","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","250","12","4-Seater Wooden Dining Table"
"Dining Table 4-Seater 08","TBL-0008","TAG-TBL-008","Furniture","Wooden Dining Table 4-Seater","Urban Wood","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","250","12","4-Seater Wooden Dining Table"
"Dining Table 4-Seater 09","TBL-0009","TAG-TBL-009","Furniture","Wooden Dining Table 4-Seater","Urban Wood","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","250","12","4-Seater Wooden Dining Table"
"Dining Table 4-Seater 10","TBL-0010","TAG-TBL-010","Furniture","Wooden Dining Table 4-Seater","Urban Wood","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","250","12","4-Seater Wooden Dining Table"
"Dining Table 4-Seater 11","TBL-0011","TAG-TBL-011","Furniture","Wooden Dining Table 4-Seater","Urban Wood","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","250","12","4-Seater Wooden Dining Table"
"Dining Table 4-Seater 12","TBL-0012","TAG-TBL-012","Furniture","Wooden Dining Table 4-Seater","Urban Wood","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","250","12","4-Seater Wooden Dining Table"
"Dining Table 4-Seater 13","TBL-0013","TAG-TBL-013","Furniture","Wooden Dining Table 4-Seater","Urban Wood","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","250","12","4-Seater Wooden Dining Table"
"Dining Table 4-Seater 14","TBL-0014","TAG-TBL-014","Furniture","Wooden Dining Table 4-Seater","Urban Wood","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","250","12","4-Seater Wooden Dining Table"
"Dining Table 4-Seater 15","TBL-0015","TAG-TBL-015","Furniture","Wooden Dining Table 4-Seater","Urban Wood","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","250","12","4-Seater Wooden Dining Table"
"Dining Table 4-Seater 16","TBL-0016","TAG-TBL-016","Furniture","Wooden Dining Table 4-Seater","Urban Wood","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","250","12","4-Seater Wooden Dining Table"
"Dining Table 4-Seater 17","TBL-0017","TAG-TBL-017","Furniture","Wooden Dining Table 4-Seater","Urban Wood","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","250","12","4-Seater Wooden Dining Table"
"Dining Chair 01","CHR-0001","TAG-CHR-001","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 02","CHR-0002","TAG-CHR-002","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 03","CHR-0003","TAG-CHR-003","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 04","CHR-0004","TAG-CHR-004","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 05","CHR-0005","TAG-CHR-005","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 06","CHR-0006","TAG-CHR-006","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 07","CHR-0007","TAG-CHR-007","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 08","CHR-0008","TAG-CHR-008","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 09","CHR-0009","TAG-CHR-009","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
